Tool name,,01-empty_chrom.bed,01-known_scaffolds.bed,01-missing_chrom.bed,01-special_char_chrom.bed,01-unknown_scaffolds.bed,02-float_start.bed,02-leading_zeros_start.bed,02-start_negative.bed,02-string_start.bed,03-chromEnd_too_large.bed,03-duplicate_rows.bed,03-end_negative.bed,03-float_end.bed,03-no_end.bed,03-no_gap_startend.bed,03-no_start.bed,03-overlapping_intervals.bed,03-standard_chrom.bed,03-start_eq_end.bed,03-start_gt_end.bed,03-string_end.bed,03-zero_chromStart.bed,04-empty_name.bed,04-mixed_bed_types.bed,04-name_dot.bed,04-name_with_spaces.bed,04-numeric_name.bed,04-repeated_name.bed,04-special_character_name.bed,05-edge_score.bed,05-empty_score.bed,05-leading_zeros_score.bed,05-score_fraction.bed,05-score_gt_1000.bed,05-score_lt_0.bed,05-score_not_number.bed,05-zero_scores.bed,06-empty_strand.bed,06-invalid_strand.bed,06-mix_strand.bed,06-no_strand.bed,07-float_thickStart.bed,07-leading_zeros_thickStart.bed,07-no_thickStart.bed,07-string_thickStart.bed,07-thickStart_lt_chomStart.bed,08-all_thick.bed,08-float_thickEnd.bed,08-no_thick_part.bed,08-string_thickEnd.bed,08-thickEnd_gt_chromEnd.bed,08-thickStartEnd_wide.bed,08-thickStart_gt_thickEnd.bed,09-incomplete_rgb.bed,09-invalid_rgb.bed,09-leading_zeros_colors.bed,09-many_colors.bed,09-no_rgb.bed,09-string_rgb.bed,09-zero_rgb.bed,10-blockcount_negative.bed,10-blockcount_string.bed,10-blockcount_zero.bed,10-different_blockcounts.bed,10-leading_zero_blockcount.bed,10-missing_blockCount.bed,other-comment_end.bed,other-comment_middle.bed,other-comment_start.bed,other-fully_space_delimited.bed,other-multiple_comments.bed,other-not_tab_delimited.bed,other-space_after_tab.bed,other-space_before_tab.bed,other-space_between_lines.bed
ataqv ataqv,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedops complement,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedops element-of,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combined p-values acf,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
homer findMotifsGenome,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ngsutils extend,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ngsutils reduce,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portcullis compare,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quast quast,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rseqc geneBody_coverage,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
