Tool name,01-known_scaffolds.bed,01-unknown_scaffolds.bed,02-leading_zeros_start.bed,03-duplicate_rows.bed,03-no_gap_startend.bed,03-overlapping_intervals.bed,03-standard_chrom.bed,03-start_eq_end.bed,03-zero_chromStart.bed,other-comment_end.bed,other-comment_middle.bed,other-comment_start.bed,other-fully_space_delimited.bed,other-multiple_comments.bed,other-not_tab_delimited.bed,other-space_after_tab.bed,other-space_before_tab.bed,other-space_between_lines.bed,,01-missing_chrom.bed,01-no_chrom.bed,01-special_char_chrom.bed,02-float_start.bed,02-no_start.bed,02-start_negative.bed,02-string_start.bed,03-chromEnd_too_large.bed,03-end_negative.bed,03-float_end.bed,03-no_end.bed,03-start_gt_end.bed,03-string_end.bed
HipSTR HipSTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
Piranha basic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
atactk make_cut_matrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
blockbuster blockbuster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
cpat cpat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
epic2 epic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
f-seq f-seq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
fithic HiCPro2FitHiC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
gat gat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
iCount annotate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1
